"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1204204";"01";"1665448";"";"";"41147";"30";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013/03/04 00:00:00.000";"2013/06/22 00:00:00.000";"2M12";"";"2";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1204205";"02";"6349464";"";"";"41147";"30";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013/03/04 00:00:00.000";"2013/06/22 00:00:00.000";"5M34";"";"2";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1204206";"03";"1149551";"";"";"41147";"30";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013/03/04 00:00:00.000";"2013/06/22 00:00:00.000";"2M12";"";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1204207";"04";"1323908";"";"";"41147";"30";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013/03/04 00:00:00.000";"2013/06/22 00:00:00.000";"2M12";"";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1204208";"05";"414674";"";"";"41147";"30";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013/03/04 00:00:00.000";"2013/06/22 00:00:00.000";"2M12";"";"1";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1204209";"06";"347027";"";"";"41147";"30";"STRICTO SENSU";"";"sala da base";"2013";"2";"2013/03/04 00:00:00.000";"2013/06/22 00:00:00.000";"2M12";"";"4";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1205338";"01";"1149567";"";"";"51235";"36";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013/08/16 00:00:00.000";"2013/10/05 00:00:00.000";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"false";"2014/06/30 11:13:34.373000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"1205339";"01";"1451883";"";"";"51231";"12";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013/10/18 00:00:00.000";"2013/12/05 00:00:00.000";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"false";"2014/09/26 11:34:29.798000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"1205339";"01";"";"7667";"";"51231";"24";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013/10/18 00:00:00.000";"2013/12/05 00:00:00.000";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"false";"2014/09/26 11:34:29.798000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"1205340";"01";"2453033";"";"";"51236";"24";"LATO SENSU";"";"Auditório do LAUT";"2013";"2";"2013/12/06 00:00:00.000";"2013/12/28 00:00:00.000";"7M2345  7T3456  6N1234";"";"30";"REGULAR";"false";"2014/09/26 15:29:51.187000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"1205442";"01";"2645900";"";"";"51754";"20";"LATO SENSU";"";"LABORATÓRIO DE INFORMÁTICA - BCZM";"2013";"2";"2013/07/09 00:00:00.000";"2013/07/23 00:00:00.000";"35M12345";"";"20";"REGULAR";"false";"2014/07/17 17:07:35.727000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"1206108";"01";"1801922";"";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 21:10:30.845000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206109";"02";"1434525";"";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 05:19:16.809000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206110";"03";"";"8767";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 05:25:01.636000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206112";"04";"";"8761";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 05:29:20.046000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206113";"05";"3692025";"";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 16:03:15.058000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206114";"06";"";"8762";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 05:35:05.116000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206115";"07";"";"8760";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 05:40:22.043000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206116";"08";"350854";"";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/26 17:11:30.486000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206117";"09";"";"81150";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 05:45:06.422000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206118";"10";"1718165";"";"";"51763";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 08:29:06.446000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206122";"01";"1434525";"";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 06:10:30.882000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206123";"02";"";"8761";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 06:15:21.221000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206130";"03";"1801922";"";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 21:02:52.754000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206131";"04";"3692025";"";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 15:58:42.920000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206132";"05";"";"8767";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 06:21:01.993000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206133";"06";"1578070";"";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 06:28:35.934000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206134";"07";"1364487";"";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 05:37:33.122000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206135";"08";"1718165";"";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 08:25:04.877000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206136";"09";"350854";"";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/26 17:17:02.733000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206137";"10";"";"81150";"";"51764";"0";"LATO SENSU";"";"";"2013";"2";"2013/10/07 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 08:09:21.513000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206138";"01";"";"81196";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/26 20:09:13.299000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206139";"02";"";"81199";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 09:57:33.539000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206139";"02";"1578071";"";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 09:57:33.539000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206140";"03";"";"81197";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 10:03:02.807000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206141";"04";"6350650";"";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/07 19:04:49.385000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206141";"04";"";"81198";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/07 19:04:49.385000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206147";"05";"2026056";"";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 10:09:06.156000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206150";"06";"";"81199";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/26 19:55:48.331000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206156";"07";"";"81200";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 10:14:33.729000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206159";"08";"3717905";"";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/26 21:17:33.455000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206160";"09";"1507914";"";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/27 05:15:25.407000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206161";"10";"";"81202";"";"51769";"0";"LATO SENSU";"";"";"2013";"2";"2013/08/01 00:00:00.000";"2013/10/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 10:20:37.741000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206162";"01";"";"81197";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 08:49:16.008000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206163";"02";"";"81199";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/26 20:00:29.206000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206164";"03";"";"81200";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 08:53:36.775000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206165";"04";"2026056";"";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 08:59:20.597000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206166";"05";"1717905";"";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/26 20:53:56.577000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206167";"06";"";"8764";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 09:04:39.688000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206168";"07";"1578071";"";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/09/05 09:09:01.684000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206169";"08";"";"81198";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/07 17:23:09.864000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"1206169";"08";"6350650";"";"";"51767";"0";"LATO SENSU";"";"";"2013";"2";"2013/09/01 00:00:00.000";"2013/12/31 00:00:00.000";"";"";"";"REGULAR";"true";"2014/08/07 17:23:09.864000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
